,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
23,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1598.0,85.0,1316,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
24,AUDI,A6,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-08-16,2698.0,120.0,1890,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
25,KIA,STONIC,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1368.0,73.3,1085,5.0,BENZYNA,,LUBELSKIE
26,BMW,320 2.0 D,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,1998,2019-09-02,2019-09-02,1998-08-19,1950.0,100.0,1450,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
27,RENAULT,MEGANE,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1461.0,85.0,1419,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
28,MERCEDES-BENZ,E 220 CDI,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-04-08,2148.0,110.0,1810,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
29,OPEL,COMBO LIFE,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1499.0,75.0,1485,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
30,HONDA,HR-V,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1498.0,96.0,1244,5.0,BENZYNA,,LUBELSKIE
31,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-04-27,1896.0,77.0,1357,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
32,PEUGEOT,508,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-05-26,1997.0,103.0,1575,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
33,TOYOTA,TOYOTA COROLLA,SAMOCHÓD OSOBOWY,KARETA (SEDAN),NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-09-02,2019-09-02,,1598.0,97.0,1279,5.0,BENZYNA,,LUBELSKIE
34,FORD,S-MAX,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-07-06,1997.0,103.0,1690,7.0,OLEJ NAPĘDOWY,,LUBELSKIE
35,AUDI,A4,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-09-05,1968.0,103.0,1565,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
36,AUDI,A4 1.8 QUATTRO,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2003,2019-09-02,2019-09-12,2003-09-16,1781.0,140.0,1675,5.0,BENZYNA,,LUBELSKIE
37,OPEL,VECTRA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-12-04,1910.0,88.0,1585,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
38,SKODA,SUPERB,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2014,2019-09-02,2019-09-02,2014-11-04,1968.0,103.0,1479,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
39,CHRYSLER,GRAND CHEROKEE,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2002,2019-09-02,2019-09-02,2003-09-29,4701.0,162.0,1926,5.0,BENZYNA,,LUBELSKIE
40,DACIA,LOGAN,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2008-05-29,1598.0,64.0,1055,5.0,BENZYNA,,LUBELSKIE
41,AUDI,A3,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-10-02,1896.0,77.0,1410,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
42,PEUGEOT,407 SW,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-08-28,1997.0,103.0,1811,5.0,BENZYNA,,LUBELSKIE
43,AUDI,A4 AVANT,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-06-04,1896.0,96.0,1535,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
44,RENAULT,MEGANE,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1461.0,85.0,1419,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
45,AUDI,A6,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-05-19,2393.0,130.0,1820,5.0,BENZYNA,,LUBELSKIE
46,MERCEDES-BENZ,E 220,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2017,2019-09-02,2019-09-02,2017-12-18,1950.0,143.0,1780,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
47,HYUNDAI,I20,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-11-02,1248.0,57.0,970,5.0,BENZYNA,,LUBELSKIE
48,ALFA ROMEO,GIULIETTA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-02,2019-09-02,2012-05-31,1368.0,125.0,1380,5.0,BENZYNA,,LUBELSKIE
49,DAIHATSU,TERIOS,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,1998,2019-09-02,2019-09-02,1999-01-19,1296.0,61.0,1070,5.0,BENZYNA,,LUBELSKIE
50,OPEL,CORSA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-08-07,1229.0,59.0,1085,5.0,BENZYNA,,LUBELSKIE
51,SKODA,FABIA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2008-12-29,1390.0,63.0,1135,5.0,BENZYNA,,LUBELSKIE
52,OPEL,MERIVA-A,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-05-25,1598.0,74.0,1375,5.0,BENZYNA,,LUBELSKIE
53,MAZDA,5,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-10-26,1798.0,85.0,1470,7.0,BENZYNA,,LUBELSKIE
54,RENAULT,MEGANE,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1461.0,85.0,1367,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
55,RENAULT,,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-06-09,1598.0,83.0,1215,5.0,BENZYNA,,LUBELSKIE
56,OPEL,SIGNUM,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-04-30,1910.0,110.0,1613,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
57,FORD,C-MAX,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2008-03-03,1798.0,92.0,1300,5.0,BENZYNA,,LUBELSKIE
58,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-04-19,1896.0,77.0,1505,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
59,BMW,320I,SAMOCHÓD OSOBOWY,COUPE,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-09-02,2010-01-22,1995.0,125.0,1435,4.0,BENZYNA,,LUBELSKIE
60,RENAULT,CLIO,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-05-08,1461.0,63.0,1205,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
61,CHRYSLER,300C,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-04-15,3518.0,183.0,1740,5.0,BENZYNA,,LUBELSKIE
