,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
23,NISSAN,MICRA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-05-05,1240.0,48.0,1040,5.0,BENZYNA,,WIELKOPOLSKIE
24,BMW,330D,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-06-25,2993.0,180.0,1600,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
25,PEUGEOT,206 SW,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-07-01,1360.0,65.0,1113,5.0,BENZYNA,,WIELKOPOLSKIE
26,PEUGEOT,508,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-12-23,1560.0,82.0,1405,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
27,AUDI,A6,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2003,2019-09-02,2019-09-02,2003-03-13,2496.0,120.0,1720,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
28,AUDI,A6,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2016,2019-09-02,2019-09-02,2016-01-01,2995.0,245.0,1825,5.0,BENZYNA,,WIELKOPOLSKIE
29,SEAT,IBIZA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-02,2019-09-02,2012-07-02,1198.0,51.0,1049,5.0,BENZYNA,,WIELKOPOLSKIE
30,AUDI,A5 SPORTBACK,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1984.0,180.0,1686,5.0,BENZYNA,,WIELKOPOLSKIE
31,LAND ROVER,RANGE ROVER,SAMOCHÓD OSOBOWY,TERENOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-02-22,3628.0,200.0,2775,7.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
32,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,1999,2019-09-02,2019-09-02,1999-08-12,1896.0,85.0,1294,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
