,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
3573,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-24,2019-09-24,2009-12-10,1968.0,103.0,1410,5.0,OLEJ NAPĘDOWY,,POMORSKIE
3574,FORD,FOCUS,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2018,2019-09-24,2019-09-24,2018-06-19,1499.0,70.0,1362,5.0,OLEJ NAPĘDOWY,,POMORSKIE
3575,VOLKSWAGEN,PASSAT,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,1968.0,140.0,1668,5.0,OLEJ NAPĘDOWY,,POMORSKIE
3576,FORD,MONDEO,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2014,2019-09-24,2019-09-24,2015-07-13,1997.0,110.0,1597,5.0,OLEJ NAPĘDOWY,,POMORSKIE
3577,DACIA,DOKKER,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,1461.0,55.0,1328,5.0,OLEJ NAPĘDOWY,,POMORSKIE
3578,LEXUS,LEXUS ES300H,SAMOCHÓD OSOBOWY,KARETA (SEDAN),NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,2487.0,131.0,1696,5.0,BENZYNA,,POMORSKIE
3579,KIA,PICANTO,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,1248.0,61.8,864,5.0,BENZYNA,,POMORSKIE
3580,KIA,PROCEED,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,1353.0,103.0,1303,5.0,BENZYNA,,POMORSKIE
3581,FORD,FIESTA,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,1084.0,62.5,1073,5.0,BENZYNA,,POMORSKIE
3582,SEAT,IBIZA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2013,2019-09-24,2019-09-24,2013-04-11,1390.0,63.0,1130,5.0,BENZYNA,,POMORSKIE
3583,RENAULT,ZOE,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,,68.0,1473,5.0,ENERGIA ELEKTRYCZNA,,POMORSKIE
3584,CHEVROLET,TRAX,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2013,2019-09-24,2019-09-24,2013-07-29,1364.0,103.0,1522,5.0,BENZYNA,,POMORSKIE
3585,CITROEN,C4,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-24,2019-09-24,2007-07-20,1560.0,80.0,1354,5.0,OLEJ NAPĘDOWY,,POMORSKIE
3586,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-24,2019-09-24,2010-02-22,1598.0,77.0,1314,5.0,OLEJ NAPĘDOWY,,POMORSKIE
3587,VOLKSWAGEN,CADDY,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,1395.0,96.0,1507,5.0,BENZYNA,,POMORSKIE
3588,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,HATCHBACK,PONOWNA REJESTRACJA,PRODUKCJA JEDNOSTKOWA,1999,2019-09-24,2019-09-24,,1390.0,55.0,845,5.0,BENZYNA,,POMORSKIE
3589,SKODA,SCALA,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,1498.0,110.0,1260,5.0,BENZYNA,,POMORSKIE
