,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
23,KIA,RIO,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-12-28,1399.0,71.0,1154,5.0,BENZYNA,,OPOLSKIE
24,SUZUKI,GRAND VITARA,SAMOCHÓD OSOBOWY,TERENOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2014,2019-09-02,2019-09-02,2014-06-16,1870.0,95.0,1729,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
25,KIA,VENGA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-09-02,2011-01-27,1582.0,94.0,1356,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
26,RENAULT,CLIO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2013,2019-09-02,2019-09-02,2013-02-21,1149.0,54.0,1055,5.0,BENZYNA,,OPOLSKIE
27,OPEL,ASTRA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-08-23,1598.0,85.0,1437,5.0,BENZYNA,,OPOLSKIE
28,HONDA,CIVIC 1.8,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2014,2019-09-02,2019-09-02,2014-12-29,1798.0,104.0,1336,5.0,BENZYNA,,OPOLSKIE
29,TOYOTA,AVENSIS 1.8 KAT,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-10-02,1794.0,95.0,1390,5.0,BENZYNA,,OPOLSKIE
30,TOYOTA,YARIS,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2008-09-11,1364.0,66.0,1130,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
31,FORD,MONDEO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2008-04-16,1997.0,96.0,1482,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
32,AUDI,A3,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-09-02,,1595.0,75.0,1300,5.0,BENZYNA,,OPOLSKIE
