,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
22,NISSAN,QASHQAI,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-11-29,1995.0,110.0,1570,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
23,OPEL,MOKKA X,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1364.0,103.0,1413,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
24,BMW,525I,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-11-10,2494.0,141.0,1575,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
25,VOLKSWAGEN,POLO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,1997,2019-09-02,2019-09-02,1997-05-15,1390.0,44.0,918,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
26,VOLKSWAGEN,POLO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-04-09,1198.0,44.0,1098,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
27,NISSAN,JUKE,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-02,2019-09-02,2012-07-31,1461.0,81.0,1360,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
28,KIA,SPORTAGE,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1591.0,130.0,1562,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
29,OPEL,ZAFIRA-A,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-04-26,1598.0,74.0,1393,7.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
30,SEAT,LEON,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2001,2019-09-02,2019-09-02,2002-05-14,1598.0,77.0,1272,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
31,SUZUKI,SWIFT,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2008-06-18,1328.0,67.5,980,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
32,HYUNDAI,I20,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-02,2019-09-02,2012-12-28,1248.0,63.0,1045,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
33,TOYOTA,YARIS,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-09-02,2010-10-12,998.0,51.0,990,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
34,TOYOTA,AVENSIS,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-06-30,1794.0,95.0,1370,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
35,AUDI,A3,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2008-02-14,1968.0,103.0,1445,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
36,OPEL,CORSA-C,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-09-26,1229.0,59.0,1010,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
